,population,gdp,gdp_per_capita,poverty_rate,gini_index,income_top1,income_top10,income_bottom50
count,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0
mean,52507320.10058904,903456906038.2703,19368.764626189397,11.90632257282012,37.31667663399185,15.387156773901225,42.74189397371999,15.993565926597192
std,154305201.967419,2502837654729.1885,15828.294483313966,19.825842535061263,8.744633795226104,5.975182848981703,9.710079351728211,5.078330648366844
min,10289.0,312853560.0,485.17,0.0,20.18657774,3.41,18.06,3.27
25%,4570556.5,36952436443.5,6849.01,0.24922987200000002,30.847607555,10.785,34.474999999999994,11.85
50%,10434826.0,187634000000.0,14945.41,1.697119512,35.28075218,14.205,41.81,16.36
75%,46381925.5,690587500000.0,28750.085,14.765713365,42.360679805000004,19.33,51.075,19.91
max,1426437269.0,26966000000000.0,135490.38,97.00781107,71.05054855,64.09,80.29,35.12
